HouseholdID,Timestamp,Volume_m3,AmbientCO_ppm_Est,HourOfDay,MinuteOfHour,IsCooking,TimeSinceCookStart_min,StoveType_ICS,StoveType_TCS,CO_ppm_Lag1,CO_ppm_Lag2,CO_ppm_Lag5,CO_ppm_Lag10,CO_ppm
6,2018-12-15 17:39:00,8.0,0.8,17,39,1,6.0,0,1,41.2,59.6,63.6,0.6,35.4
6,2018-12-15 17:40:00,8.0,0.8,17,40,1,7.0,0,1,35.4,41.2,56.9,0.6,37.1
6,2018-12-15 17:41:00,8.0,0.8,17,41,1,8.0,0,1,37.1,35.4,86.9,0.6,47.8
6,2018-12-15 17:42:00,8.0,0.8,17,42,1,9.0,0,1,47.8,37.1,59.6,0.6,40.4
6,2018-12-15 17:43:00,8.0,0.8,17,43,1,10.0,0,1,40.4,47.8,41.2,19.9,31.7
6,2018-12-15 17:44:00,8.0,0.8,17,44,1,11.0,0,1,31.7,40.4,35.4,63.6,27.7
6,2018-12-15 17:45:00,8.0,0.8,17,45,1,12.0,0,1,27.7,31.7,37.1,56.9,44.1
6,2018-12-15 17:46:00,8.0,0.8,17,46,1,13.0,0,1,44.1,27.7,47.8,86.9,36.4
6,2018-12-15 17:47:00,8.0,0.8,17,47,1,14.0,0,1,36.4,44.1,40.4,59.6,43.8
6,2018-12-15 17:48:00,8.0,0.8,17,48,1,15.0,0,1,43.8,36.4,31.7,41.2,37.9
6,2018-12-15 17:49:00,8.0,0.8,17,49,1,16.0,0,1,37.9,43.8,27.7,35.4,43.3
6,2018-12-15 17:50:00,8.0,0.8,17,50,1,17.0,0,1,43.3,37.9,44.1,37.1,65.5
6,2018-12-15 17:51:00,8.0,0.8,17,51,1,18.0,0,1,65.5,43.3,36.4,47.8,65.6
6,2018-12-15 17:52:00,8.0,0.8,17,52,1,19.0,0,1,65.6,65.5,43.8,40.4,65.4
6,2018-12-15 17:53:00,8.0,0.8,17,53,1,20.0,0,1,65.4,65.6,37.9,31.7,68.3
6,2018-12-15 17:54:00,8.0,0.8,17,54,1,21.0,0,1,68.3,65.4,43.3,27.7,77.5
6,2018-12-15 17:55:00,8.0,0.8,17,55,1,22.0,0,1,77.5,68.3,65.5,44.1,71.8
6,2018-12-15 17:56:00,8.0,0.8,17,56,1,23.0,0,1,71.8,77.5,65.6,36.4,51.9
6,2018-12-15 17:57:00,8.0,0.8,17,57,1,24.0,0,1,51.9,71.8,65.4,43.8,58.7
6,2018-12-15 17:58:00,8.0,0.8,17,58,1,25.0,0,1,58.7,51.9,68.3,37.9,69.9
